date,time,entidad,compra,venta
2026-09-10,2026-09-10T14:35:33Z,Cambio Extranjero,58.4,
2026-09-10,2026-09-10T14:35:33Z,Asociación Romana,57.8,
2026-09-10,2026-09-10T14:35:33Z,RM,58.7,59.1
2026-09-10,2026-09-10T14:35:33Z,Taveras,58.5,59.15
2026-09-10,2026-09-10T14:35:33Z,Moneycorps,58.5,59.2
2026-09-10,2026-09-10T14:35:33Z,SCT,58.6,59.3
2026-09-10,2026-09-10T14:35:33Z,Panora Exchange,58.849999999999994,59.4
2026-09-10,2026-09-10T14:35:33Z,Gamelin,58.75,59.4
2026-09-10,2026-09-10T14:35:33Z,Banco BHD,56,59.8
2026-09-10,2026-09-10T14:35:33Z,Bonanza Banco,58.1,59.8
2026-09-10,2026-09-10T14:35:33Z,Motor Crédito,57.9,59.8
2026-09-10,2026-09-10T14:35:33Z,Banreservas,56.4,59.9
2026-09-10,2026-09-10T14:35:33Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-10,2026-09-10T14:35:33Z,Banco Lafise,56.6,59.9
2026-09-10,2026-09-10T14:35:33Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-10,2026-09-10T14:35:33Z,Banesco,56.5,59.9
2026-09-10,2026-09-10T14:35:33Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
