date,time,entidad,compra,venta
2026-09-14,2026-09-14T14:27:11Z,Cambio Extranjero,58.5,
2026-09-14,2026-09-14T14:27:11Z,Asociación Romana,57.949999999999996,
2026-09-14,2026-09-14T14:27:11Z,SCT,58.8,59.4
2026-09-14,2026-09-14T14:27:11Z,Panora Exchange,58.9,59.4
2026-09-14,2026-09-14T14:27:11Z,Moneycorps,58.7,59.449999999999996
2026-09-14,2026-09-14T14:27:11Z,RM,59,59.5
2026-09-14,2026-09-14T14:27:11Z,Taveras,59,59.5
2026-09-14,2026-09-14T14:27:11Z,Gamelin,58.75,59.5
2026-09-14,2026-09-14T14:27:11Z,Bonanza Banco,58.1,59.8
2026-09-14,2026-09-14T14:27:11Z,Motor Crédito,57.9,59.8
2026-09-14,2026-09-14T14:27:11Z,Banco BHD,56,59.9
2026-09-14,2026-09-14T14:27:11Z,Banreservas,56.4,59.9
2026-09-14,2026-09-14T14:27:11Z,Banco Lafise,56.6,59.9
2026-09-14,2026-09-14T14:27:11Z,Banesco,56.5,59.9
2026-09-14,2026-09-14T14:27:11Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-14,2026-09-14T14:27:11Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-14,2026-09-14T14:27:11Z,Asociación Cibao de Ahorros y Préstamos,58.05,60.05
