date,time,entidad,compra,venta
2026-09-09,2026-09-09T14:46:44Z,Cambio Extranjero,58.4,
2026-09-09,2026-09-09T14:46:44Z,Asociación Romana,57.8,
2026-09-09,2026-09-09T14:46:44Z,Moneycorps,58.349999999999994,59.05
2026-09-09,2026-09-09T14:46:44Z,SCT,58.5,59.1
2026-09-09,2026-09-09T14:46:44Z,RM,58.7,59.1
2026-09-09,2026-09-09T14:46:44Z,Taveras,58.5,59.15
2026-09-09,2026-09-09T14:46:44Z,Panora Exchange,58.55,59.2
2026-09-09,2026-09-09T14:46:44Z,Gamelin,58.5,59.3
2026-09-09,2026-09-09T14:46:44Z,Banco BHD,56,59.8
2026-09-09,2026-09-09T14:46:44Z,Bonanza Banco,58.1,59.8
2026-09-09,2026-09-09T14:46:44Z,Motor Crédito,57.9,59.8
2026-09-09,2026-09-09T14:46:44Z,Banreservas,56.4,59.9
2026-09-09,2026-09-09T14:46:44Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-09,2026-09-09T14:46:44Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-09,2026-09-09T14:46:44Z,Banesco,56.5,59.9
2026-09-09,2026-09-09T14:46:44Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-09,2026-09-09T14:46:44Z,Banco Lafise,56.6,60
