date,time,entidad,compra,venta
2026-05-27,2026-05-27T14:10:59Z,Cambio Extranjero,58.1,
2026-05-27,2026-05-27T14:10:59Z,Asociación Romana,57.1,
2026-05-27,2026-05-27T14:10:59Z,RM,58.1,59
2026-05-27,2026-05-27T14:10:59Z,Moneycorps,58.25,59.15
2026-05-27,2026-05-27T14:10:59Z,Panora Exchange,58.1,59.3
2026-05-27,2026-05-27T14:10:59Z,SCT,58,59.3
2026-05-27,2026-05-27T14:10:59Z,Taveras,58.5,59.3
2026-05-27,2026-05-27T14:10:59Z,Gamelin,58.3,59.4
2026-05-27,2026-05-27T14:10:59Z,Banco Unión,57,59.75
2026-05-27,2026-05-27T14:10:59Z,Motor Crédito,57.849999999999994,59.75
2026-05-27,2026-05-27T14:10:59Z,Asociación Cibao de Ahorros y Préstamos,56.5,60
2026-05-27,2026-05-27T14:10:59Z,Banco Lafise,56.5,60
2026-05-27,2026-05-27T14:10:59Z,Bonanza Banco,57.5,60
2026-05-27,2026-05-27T14:10:59Z,Banreservas,57,60
2026-05-27,2026-05-27T14:10:59Z,Banesco,57,60
2026-05-27,2026-05-27T14:10:59Z,Banco Caribe,57,60
2026-05-27,2026-05-27T14:10:59Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-05-27,2026-05-27T14:10:59Z,Banco BHD,56.7,60.2
2026-05-27,2026-05-27T14:10:59Z,Abonap,57.09,60.25
2026-05-27,2026-05-27T14:10:59Z,Asociación Peravia de Ahorros y Préstamos,57,60.5
2026-05-27,2026-05-27T14:10:59Z,Asociación La Nacional de Ahorros y Préstamos,57.5,60.6
