date,time,entidad,compra,venta
2026-09-03,2026-09-03T14:00:51Z,Cambio Extranjero,58.5,
2026-09-03,2026-09-03T14:00:51Z,Asociación Romana,57.6,
2026-09-03,2026-09-03T14:00:51Z,Gamelin,58.25,59
2026-09-03,2026-09-03T14:00:51Z,SCT,58.6,59.3
2026-09-03,2026-09-03T14:00:51Z,Taveras,58.5,59.3
2026-09-03,2026-09-03T14:00:51Z,Moneycorps,58.5,59.4
2026-09-03,2026-09-03T14:00:51Z,RM,58.8,59.5
2026-09-03,2026-09-03T14:00:51Z,Banco BHD,56,59.8
2026-09-03,2026-09-03T14:00:51Z,Banco Unión,57.849999999999994,59.8
2026-09-03,2026-09-03T14:00:51Z,Bonanza Banco,57.8,59.8
2026-09-03,2026-09-03T14:00:51Z,Motor Crédito,57.9,59.8
2026-09-03,2026-09-03T14:00:51Z,Panora Exchange,58.7,59.9
2026-09-03,2026-09-03T14:00:51Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-03,2026-09-03T14:00:51Z,Banreservas,56.4,59.9
2026-09-03,2026-09-03T14:00:51Z,Banesco,56.5,59.9
2026-09-03,2026-09-03T14:00:51Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-03,2026-09-03T14:00:51Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-03,2026-09-03T14:00:51Z,Banco Lafise,56.6,60
