date,time,entidad,compra,venta
2026-06-16,2026-06-16T13:32:53Z,Cambio Extranjero,58.3,
2026-06-16,2026-06-16T13:32:53Z,Asociación Romana,57.65,
2026-06-16,2026-06-16T13:32:53Z,Taveras,58.2,59
2026-06-16,2026-06-16T13:32:53Z,Moneycorps,58.5,59.3
2026-06-16,2026-06-16T13:32:53Z,Panora Exchange,58.6,59.3
2026-06-16,2026-06-16T13:32:53Z,RM,58.8,59.3
2026-06-16,2026-06-16T13:32:53Z,Gamelin,58.5,59.4
2026-06-16,2026-06-16T13:32:53Z,SCT,58.6,59.4
2026-06-16,2026-06-16T13:32:53Z,Banreservas,56.9,59.9
2026-06-16,2026-06-16T13:32:53Z,Motor Crédito,58.25,59.9
2026-06-16,2026-06-16T13:32:53Z,Asociación Cibao de Ahorros y Préstamos,57,60
2026-06-16,2026-06-16T13:32:53Z,Banco BHD,56.6,60
2026-06-16,2026-06-16T13:32:53Z,Banco Lafise,56.5,60
2026-06-16,2026-06-16T13:32:53Z,Bonanza Banco,58,60
2026-06-16,2026-06-16T13:32:53Z,Banco Unión,58,60
2026-06-16,2026-06-16T13:32:53Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-16,2026-06-16T13:32:53Z,Banesco,57,60
2026-06-16,2026-06-16T13:32:53Z,Banco Caribe,58,60
2026-06-16,2026-06-16T13:32:53Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-16,2026-06-16T13:32:53Z,Abonap,56.92,60.05
2026-06-16,2026-06-16T13:32:53Z,Asociación Peravia de Ahorros y Préstamos,56.849999999999994,60.5
