date,time,entidad,compra,venta
2026-05-28,2026-05-28T13:46:48Z,Cambio Extranjero,58.1,
2026-05-28,2026-05-28T13:46:48Z,Asociación Romana,57.1,
2026-05-28,2026-05-28T13:46:48Z,Moneycorps,58,59
2026-05-28,2026-05-28T13:46:48Z,RM,58.1,59
2026-05-28,2026-05-28T13:46:48Z,SCT,58,59.3
2026-05-28,2026-05-28T13:46:48Z,Taveras,58.5,59.3
2026-05-28,2026-05-28T13:46:48Z,Panora Exchange,58,59.3
2026-05-28,2026-05-28T13:46:48Z,Gamelin,58.1,59.4
2026-05-28,2026-05-28T13:46:48Z,Motor Crédito,57.849999999999994,59.75
2026-05-28,2026-05-28T13:46:48Z,Asociación Cibao de Ahorros y Préstamos,56.5,60
2026-05-28,2026-05-28T13:46:48Z,Banco Lafise,56.5,60
2026-05-28,2026-05-28T13:46:48Z,Bonanza Banco,57.5,60
2026-05-28,2026-05-28T13:46:48Z,Banco Unión,57.5,60
2026-05-28,2026-05-28T13:46:48Z,Banreservas,57,60
2026-05-28,2026-05-28T13:46:48Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-05-28,2026-05-28T13:46:48Z,Banesco,57,60
2026-05-28,2026-05-28T13:46:48Z,Banco Caribe,57,60
2026-05-28,2026-05-28T13:46:48Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-05-28,2026-05-28T13:46:48Z,Abonap,56.78,60.05
2026-05-28,2026-05-28T13:46:48Z,Banco BHD,56.7,60.2
2026-05-28,2026-05-28T13:46:48Z,Asociación Peravia de Ahorros y Préstamos,57,60.5
