date,time,entidad,compra,venta
2026-05-07,2026-05-07T14:36:58Z,Asociación Romana,58.5,
2026-05-07,2026-05-07T14:36:58Z,Cambio Extranjero,59.2,59.8
2026-05-07,2026-05-07T14:36:58Z,Moneycorps,59.2,59.8
2026-05-07,2026-05-07T14:36:58Z,Panora Exchange,59.1,59.9
2026-05-07,2026-05-07T14:36:58Z,Gamelin,59.2,59.949999999999996
2026-05-07,2026-05-07T14:36:58Z,Taveras,59.25,60
2026-05-07,2026-05-07T14:36:58Z,SCT,59.2,60
2026-05-07,2026-05-07T14:36:58Z,RM,59.25,60
2026-05-07,2026-05-07T14:36:58Z,Motor Crédito,58.65,60.5
2026-05-07,2026-05-07T14:36:58Z,Banco Unión,58.1,60.9
2026-05-07,2026-05-07T14:36:58Z,Asociación Cibao de Ahorros y Préstamos,58.5,61
2026-05-07,2026-05-07T14:36:58Z,Banco BHD,57.3,61
2026-05-07,2026-05-07T14:36:58Z,Banco Lafise,57.5,61
2026-05-07,2026-05-07T14:36:58Z,Bonanza Banco,58.7,61
2026-05-07,2026-05-07T14:36:58Z,Banreservas,58,61
2026-05-07,2026-05-07T14:36:58Z,Banesco,58,61
2026-05-07,2026-05-07T14:36:58Z,Asociación Peravia de Ahorros y Préstamos,58,61.2
2026-05-07,2026-05-07T14:36:58Z,Abonap,58.1,61.24
2026-05-07,2026-05-07T14:36:58Z,Banco Caribe,58.5,61.25
2026-05-07,2026-05-07T14:36:58Z,Asociación Popular de Ahorros y Préstamos,58,61.25
2026-05-07,2026-05-07T14:36:58Z,Asociación La Nacional de Ahorros y Préstamos,58,61.4
